trajectory_id,type,file_path,num_waypoints,duration_s,control_period_s,orientation_mode,closed_path,anchor_q_json,center_x_m,center_y_m,center_z_m,path_scale_1_m,path_scale_2_m,path_scale_3_m,generation_seed,validation_waypoint_success_rate,validation_position_max_mm,validation_orientation_max_deg,generation_status,sha256
circle_fixed_orientation,circle,trajectories/circle/circle_fixed_orientation.npz,400,10.0000000000,0.0250626566,fixed,True,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.6044920468,0.0636909382,0.4284425429,0.0450000000,,,42,1.0000000000,5.9544639678,0.0048771325,validated,b4e09ac0a1e6474eaca3ca42ba32120f178bdb7125b034cb52222a49f1f30417
circle_variable_orientation,circle,trajectories/circle/circle_variable_orientation.npz,400,10.0000000000,0.0250626566,variable,True,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.6044920468,0.0636909382,0.4284425429,0.0450000000,,,42,1.0000000000,5.9544639678,0.8452560866,validated,07922a485bfc1377e76179147f99f9dcd34779b14c703710ab7528d2a112e3e7
figure8_fixed_orientation,figure8,trajectories/figure8/figure8_fixed_orientation.npz,400,10.0000000000,0.0250626566,fixed,True,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.5781000109,0.0877491613,0.4010625806,0.0500000000,0.0300000000,,42,1.0000000000,5.9992473977,0.0062679674,validated,e78f763ea78a6604dfd79121622fc18ce8c1ae5b9596a293e6d58627c0789537
figure8_variable_orientation,figure8,trajectories/figure8/figure8_variable_orientation.npz,400,10.0000000000,0.0250626566,variable,True,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.5781000109,0.0877491613,0.4010625806,0.0500000000,0.0300000000,,42,1.0000000000,5.9993658300,1.0754530231,validated,22053c48ca25f0fd17c6a3fb2323d97df0630c91b6817a4e87e3308b75115a8a
helix_fixed_orientation,helix,trajectories/helix/helix_fixed_orientation.npz,400,10.0000000000,0.0250626566,fixed,False,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.6032033196,0.0371401933,0.3981374752,0.0400000000,0.0800000000,,42,1.0000000000,5.9972756006,0.0052848332,validated,22c403b229479c417a25980c0771cb95254798cb40686dd05fc85618fffa742d
helix_variable_orientation,helix,trajectories/helix/helix_variable_orientation.npz,400,10.0000000000,0.0250626566,variable,False,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.6032033196,0.0371401933,0.3981374752,0.0400000000,0.0800000000,,42,1.0000000000,5.9977388962,0.4568469460,validated,351440ed6e61dc31c8991e32aba14fb7c7f1a82472ea1f1c6692c7ed9cf850b2
line_fixed_orientation,line,trajectories/line/line_fixed_orientation.npz,400,10.0000000000,0.0250626566,fixed,False,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.5429106296,0.1198267922,0.3645559642,0.1200000000,,,42,1.0000000000,5.9937711105,0.0015602329,validated,79a5dd674678dbb5dc807299086ae6320994a98be55690939eb302b9bfcabe45
line_variable_orientation,line,trajectories/line/line_variable_orientation.npz,400,10.0000000000,0.0250626566,variable,False,"[-0.12262236885839783, 0.764237089367377, 0.5226232364140992, 1.2829715514939122, -1.1345352728416955, 1.5596182216933618, 1.499946995257055]",0.5429106296,0.1198267922,0.3645559642,0.1200000000,,,42,1.0000000000,5.9949592589,0.9998465371,validated,3582976b3431e728b804d6d32071a940db2bda3ced8b9065a57cd2c5cca79c3c
